387,55,68,64,45,55,31
388,75,89,85,55,65,36
389,95,109,105,75,85,56
390,44,58,44,58,44,61
391,64,78,52,78,52,81
392,76,104,71,104,71,108
393,53,51,53,61,56,40
394,64,66,68,81,76,50
395,84,86,88,111,101,60
396,40,55,30,30,30,60
397,55,75,50,40,40,80
398,85,120,70,50,60,100
399,59,45,40,35,40,31
400,79,85,60,55,60,71
401,37,25,41,25,41,25
402,77,85,51,55,51,65
403,45,65,34,40,34,45
404,60,85,49,60,49,60
405,80,120,79,95,79,70
63,25,20,15,105,55,90
64,40,35,30,120,70,105
65,55,50,45,135,95,120
129,20,10,55,15,20,80
130,95,125,79,60,100,81
406,40,30,35,50,70,55
315,50,60,45,100,80,65
407,60,70,65,125,105,90
41,40,45,35,30,40,55
42,75,80,70,65,75,90
169,85,90,80,70,80,130
74,40,80,100,30,30,20
75,55,95,115,45,45,35
76,80,120,130,55,65,45
95,35,45,160,30,45,70
208,75,85,200,55,65,30
408,67,125,40,30,30,58
409,97,165,60,65,50,58
410,30,42,118,42,88,30
411,60,52,168,47,138,30
66,70,80,50,35,35,35
67,80,100,70,50,60,45
68,90,130,80,65,85,55
54,50,52,48,65,50,55
55,80,82,78,95,80,85
412,40,29,45,29,45,36
413,60,59,85,79,105,36
414,70,94,50,94,50,66
265,45,45,35,20,30,20
266,50,35,55,25,25,15
267,60,70,50,100,50,65
268,50,35,55,25,25,15
269,60,50,70,50,90,65
415,30,30,42,30,42,70
416,70,80,102,80,102,40
417,60,45,70,45,90,95
418,55,65,35,60,30,85
419,85,105,55,85,50,115
420,45,35,45,62,53,35
421,70,60,70,87,78,85
422,76,48,48,57,62,34
423,111,83,68,92,82,39
214,80,125,75,40,95,85
190,55,70,55,40,55,85
424,75,100,66,60,66,115
425,90,50,34,60,44,70
426,150,80,44,90,54,80
427,55,66,44,44,56,85
428,65,76,84,54,96,105
92,30,35,30,100,35,80
93,45,50,45,115,55,95
94,60,65,60,130,75,110
200,60,60,60,85,85,85
429,60,60,60,105,105,105
198,60,85,42,85,42,91
430,100,125,52,105,52,71
431,49,55,42,42,37,85
432,71,82,64,64,59,112
118,45,67,60,35,50,63
119,80,92,65,65,80,68
339,50,48,43,46,41,60
340,110,78,73,76,71,60
433,45,30,50,65,50,45
358,75,50,80,95,90,65
434,63,63,47,41,41,74
435,103,93,67,71,61,84
307,30,40,55,40,55,60
308,60,60,75,60,75,80
436,57,24,86,24,86,23
437,67,89,116,79,116,33
77,50,85,55,65,65,90
78,65,100,70,80,80,105
438,50,80,95,10,45,10
185,70,100,115,30,65,30
439,20,25,45,70,90,60
122,40,45,65,100,120,90
440,100,5,5,15,65,30
113,250,5,5,35,105,50
242,255,10,10,75,135,55
173,50,25,28,45,55,15
35,70,45,48,60,65,35
36,95,70,73,95,90,60
441,76,65,45,92,42,91
172,20,40,15,35,35,60
25,35,55,40,50,50,90
26,60,90,55,90,80,110
163,60,30,30,36,56,50
164,100,50,50,86,96,70
442,50,92,108,92,108,35
443,58,70,45,40,45,42
444,68,90,65,50,55,82
445,108,130,95,80,85,102
446,135,85,40,40,85,5
143,160,110,65,65,110,30
201,48,72,48,72,48,48
447,40,70,40,35,40,60
448,70,110,70,115,70,90
194,55,45,45,25,25,15
195,95,85,85,65,65,35
278,40,30,30,55,30,85
279,60,50,100,95,70,65
203,70,80,65,90,65,85
449,68,72,78,38,42,32
450,108,112,118,68,72,47
298,50,20,40,20,40,20
183,70,20,50,20,50,40
184,100,50,80,60,80,50
451,40,50,90,30,55,65
452,70,90,110,60,75,95
453,48,61,40,61,40,50
454,83,106,65,86,65,85
455,74,100,72,90,72,46
223,35,65,35,65,35,65
224,75,105,75,105,75,45
456,49,49,56,49,61,66
457,69,69,76,69,86,91
72,40,40,35,50,100,70
73,80,70,65,80,120,100
349,20,15,20,10,55,80
350,95,60,79,100,125,81
458,45,20,50,60,120,50
226,85,40,70,80,140,70
459,60,62,50,62,60,40
460,90,92,75,92,85,60
215,55,95,55,35,75,115
461,70,120,65,45,85,125
480,75,75,130,75,130,95
481,80,105,105,105,105,80
482,75,125,70,125,70,115
483,100,120,120,150,100,90
484,90,120,100,150,120,100
490,100,100,100,100,100,100
479,50,50,77,95,77,91
207,65,75,105,35,65,85
472,75,95,125,45,75,95
299,30,45,135,45,90,30
476,60,55,145,75,150,40
280,28,25,25,45,35,40
281,38,35,35,65,55,50
282,68,65,65,125,115,80
475,68,125,65,65,115,80
108,90,55,75,60,75,30
463,110,85,95,80,95,50
133,55,55,50,45,65,55
134,130,65,60,110,95,65
135,65,65,60,110,95,130
136,65,130,60,95,110,65
196,65,65,60,130,95,110
197,95,65,110,60,130,65
470,65,110,130,60,65,95
471,65,60,110,130,95,65
333,45,40,60,40,75,50
334,75,70,90,70,105,80
175,35,20,65,40,65,20
176,55,40,85,80,105,40
468,85,50,95,120,115,80
228,45,60,30,80,50,65
229,75,90,50,110,80,95
81,25,35,70,95,55,45
82,50,60,95,120,70,70
462,70,70,115,130,90,60
114,65,55,115,100,40,60
465,100,100,125,110,50,50
193,65,65,45,75,45,95
469,86,76,86,116,56,95
357,99,68,83,72,87,51
111,80,85,95,30,30,25
112,105,130,120,45,45,40
464,115,140,130,55,55,40
355,20,40,90,30,90,25
356,40,70,130,60,130,25
477,45,100,135,65,135,45
137,65,60,70,85,75,40
233,85,80,90,105,95,60
474,85,80,70,135,75,90
123,70,110,80,55,80,105
212,70,130,100,55,80,65
239,45,63,37,65,55,95
125,65,83,57,95,85,105
466,75,123,67,95,85,95
240,45,75,37,70,55,83
126,65,95,57,100,85,93
467,75,95,67,125,95,83
220,50,50,40,30,30,50
221,100,100,80,60,60,50
473,110,130,80,70,60,80
361,50,50,50,50,50,50
362,80,80,80,80,80,80
478,70,80,70,80,70,110
359,65,130,60,75,60,75
487,150,100,120,100,120,90
387,55,68,64,45,55,31
388,75,89,85,55,65,36
389,95,109,105,75,85,56
390,44,58,44,58,44,61
391,64,78,52,78,52,81
392,76,104,71,104,71,108
393,53,51,53,61,56,40
394,64,66,68,81,76,50
395,84,86,88,111,101,60
396,40,55,30,30,30,60
397,55,75,50,40,40,80
398,85,120,70,50,60,100
399,59,45,40,35,40,31
400,79,85,60,55,60,71
401,37,25,41,25,41,25
402,77,85,51,55,51,65
403,45,65,34,40,34,45
404,60,85,49,60,49,60
405,80,120,79,95,79,70
63,25,20,15,105,55,90
64,40,35,30,120,70,105
65,55,50,45,135,95,120
129,20,10,55,15,20,80
130,95,125,79,60,100,81
406,40,30,35,50,70,55
315,50,60,45,100,80,65
407,60,70,65,125,105,90
41,40,45,35,30,40,55
42,75,80,70,65,75,90
169,85,90,80,70,80,130
74,40,80,100,30,30,20
75,55,95,115,45,45,35
76,80,120,130,55,65,45
95,35,45,160,30,45,70
208,75,85,200,55,65,30
408,67,125,40,30,30,58
409,97,165,60,65,50,58
410,30,42,118,42,88,30
411,60,52,168,47,138,30
66,70,80,50,35,35,35
67,80,100,70,50,60,45
68,90,130,80,65,85,55
54,50,52,48,65,50,55
55,80,82,78,95,80,85
412,40,29,45,29,45,36
